epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,353.364,0.36249,0.23325,0.87682,0.9986,0.9898,0.9948,0.94691,0.3104,0.17868,0.82285,0.00016795,0.00016795,0.00016795
111,360.494,0.32478,0.23187,0.82703,0.99895,0.9898,0.9948,0.94209,0.32046,0.18012,0.82789,0.000154198,0.000154198,0.000154198
112,363.442,0.30893,0.20941,0.80504,0.99885,0.9898,0.9948,0.93761,0.30665,0.17928,0.82158,0.000140445,0.000140445,0.000140445
113,366.412,0.33564,0.22437,0.81469,0.99828,0.9898,0.9948,0.94271,0.30742,0.17794,0.82189,0.000126692,0.000126692,0.000126692
114,369.412,0.31134,0.20816,0.81389,0.99841,0.9898,0.9947,0.9401,0.31462,0.18929,0.82398,0.000112939,0.000112939,0.000112939
115,372.247,0.30992,0.20932,0.81099,0.99877,0.9898,0.9948,0.94456,0.31506,0.18572,0.82415,9.91865e-05,9.91865e-05,9.91865e-05
116,375.246,0.30413,0.20375,0.81294,0.9988,0.9898,0.9948,0.94735,0.3201,0.18112,0.82291,8.54337e-05,8.54337e-05,8.54337e-05
117,378.158,0.31296,0.21742,0.8195,0.99891,0.9898,0.9948,0.94967,0.31337,0.17813,0.8205,7.1681e-05,7.1681e-05,7.1681e-05
118,381.054,0.30311,0.20274,0.80281,0.99916,0.9898,0.9948,0.94966,0.31416,0.1755,0.82124,5.79283e-05,5.79283e-05,5.79283e-05
119,384.032,0.30546,0.20699,0.81791,0.99917,0.9898,0.9948,0.9511,0.31406,0.17607,0.82121,4.41755e-05,4.41755e-05,4.41755e-05
120,387.004,0.30929,0.19971,0.80635,0.99916,0.9898,0.9948,0.94672,0.31379,0.17707,0.82034,3.04227e-05,3.04227e-05,3.04227e-05
